consumers,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,mean
Drinking water,1.3,1.08,1.09,1.06,1.01,1.04,1.03,1.04,1.02,1.0,1.07
"Autres usages, principalement industriels",0.19,0.2,0.2,0.19,0.18,0.17,0.17,0.17,0.18,0.17,0.18
Agriculture (irrigation),2.46,2.43,2.33,2.19,1.58,2.65,2.53,2.37,2.5,2.63,2.37
Refroidissement des centrales électriques,0.49,0.5,0.5,0.48,0.49,0.5,0.48,0.49,0.48,0.48,0.49
Canal supply,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
